Date,Year,Month,HistAvgFlow,adjusted_historical
1941-03-01,1941,3,204.47999572753906,212.00422748309643
1941-04-01,1941,4,184.52999877929688,185.08027010247295
1941-05-01,1941,5,232.22999572753906,228.81331738265678
1941-06-01,1941,6,90.55000305175781,90.8996247909342
1941-07-01,1941,7,31.829999923706055,32.46898963161355
1941-08-01,1941,8,16.299999237060547,16.44846844051854
1941-09-01,1941,9,14.220000267028809,14.402954548598284
1941-10-01,1941,10,15.939999580383303,17.457621830298336
1941-11-01,1941,11,23.219999313354492,29.716189543950335
1941-12-01,1941,12,150.77999877929688,158.0353442929231
1942-01-01,1942,1,164.44000244140625,173.49488539521016
1942-02-01,1942,2,215.9499969482422,223.9537014777452
1942-03-01,1942,3,104.44999694824219,108.81537340241678
1942-04-01,1942,4,232.4499969482422,246.24317131917473
1942-05-01,1942,5,204.49000549316406,200.1700729847396
1942-06-01,1942,6,131.35000610351562,129.62137491697834
1942-07-01,1942,7,36.939998626708984,36.970371271065645
1942-08-01,1942,8,16.809999465942383,16.925230202987994
1942-09-01,1942,9,14.210000038146973,14.379859139140434
1942-10-01,1942,10,16.020000457763672,17.44940656218968
1942-11-01,1942,11,34.52000045776367,53.21666338653031
1942-12-01,1942,12,70.26000213623047,85.59706281897844
1943-01-01,1943,1,174.52999877929688,183.5769860120737
1943-02-01,1943,2,111.01000213623047,118.86248274103723
1943-03-01,1943,3,248.17999267578125,254.28564553751607
1943-04-01,1943,4,190.72999572753906,190.8560770651585
1943-05-01,1943,5,113.12000274658203,114.60851382230597
1943-06-01,1943,6,61.88999938964843,61.85427581801726
1943-07-01,1943,7,24.780000686645508,25.38847903086519
1943-08-01,1943,8,13.670000076293945,14.0371680880679
1943-09-01,1943,9,12.010000228881836,12.194175987360277
1943-10-01,1943,10,12.3100004196167,13.995311947782644
1943-11-01,1943,11,16.719999313354492,22.78188017023568
1943-12-01,1943,12,18.84000015258789,30.015779368999123
1944-01-01,1944,1,26.510000228881836,29.32413866993764
1944-02-01,1944,2,40.15999984741211,42.125490698641286
1944-03-01,1944,3,65.43000030517578,71.2231222057443
1944-04-01,1944,4,87.22000122070312,89.34041285441293
1944-05-01,1944,5,109.4800033569336,110.02506268958557
1944-06-01,1944,6,51.54999923706055,52.82983313647335
1944-07-01,1944,7,38.029998779296875,37.98214804007348
1944-08-01,1944,8,11.369999885559082,11.830404767172562
1944-09-01,1944,9,7.590000152587891,8.111796524102978
1944-10-01,1944,10,11.390000343322754,12.243348130441639
1944-11-01,1944,11,34.099998474121094,51.01721700323591
1944-12-01,1944,12,49.310001373291016,66.73910059743989
1945-01-01,1945,1,37.099998474121094,42.20631662062292
1945-02-01,1945,2,133.35000610351562,140.3506372283483
1945-03-01,1945,3,75.2699966430664,78.58072513996424
1945-04-01,1945,4,102.73999786376953,107.17000350716671
1945-05-01,1945,5,119.22000122070312,120.38741565133276
1945-06-01,1945,6,50.880001068115234,52.15488553188167
1945-07-01,1945,7,21.790000915527344,22.41623315148505
1945-08-01,1945,8,12.050000190734863,12.635362664517672
1945-09-01,1945,9,9.050000190734863,9.516806013888823
1945-10-01,1945,10,17.219999313354492,18.586720523620528
1945-11-01,1945,11,37.0,57.080786962178564
1945-12-01,1945,12,146.30999755859375,153.29716985597412
1946-01-01,1946,1,88.19000244140625,97.77419020222605
1946-02-01,1946,2,51.290000915527344,56.08179421092953
1946-03-01,1946,3,91.18000030517578,93.78428870857324
1946-04-01,1946,4,133.63999938964844,136.26029562760255
1946-05-01,1946,5,112.44999694824219,113.75715398689094
1946-06-01,1946,6,42.060001373291016,43.22577310571927
1946-07-01,1946,7,19.049999237060547,19.537876856015085
1946-08-01,1946,8,11.920000076293945,12.457108796455406
1946-09-01,1946,9,9.520000457763672,10.068083575940507
1946-10-01,1946,10,10.579999923706055,11.35930088841886
1946-11-01,1946,11,29.8700008392334,37.38115850636769
1946-12-01,1946,12,31.790000915527344,50.627205261272124
1947-01-01,1947,1,18.809999465942383,22.48222722230358
1947-02-01,1947,2,56.09000015258789,68.90748563710464
1947-03-01,1947,3,86.68000030517578,88.52247837563941
1947-04-01,1947,4,75.79000091552734,76.69103419087541
1947-05-01,1947,5,40.27000045776367,41.13204895104847
1947-06-01,1947,6,28.18000030517578,29.297803286017324
1947-07-01,1947,7,14.489999771118164,15.216009471362023
1947-08-01,1947,8,9.1899995803833,9.479049604188392
1947-09-01,1947,9,6.650000095367432,6.947823606449742
1947-10-01,1947,10,20.059999465942383,21.097186273761494
1947-11-01,1947,11,19.799999237060547,27.06491185729021
1947-12-01,1947,12,16.610000610351562,25.560974588903676
1948-01-01,1948,1,66.55999755859375,72.8799114662909
1948-02-01,1948,2,25.040000915527344,28.776701548513568
1948-03-01,1948,3,48.93000030517578,56.2958512207653
1948-04-01,1948,4,168.52000427246094,170.1276084734084
1948-05-01,1948,5,163.8000030517578,164.60665714378047
1948-06-01,1948,6,105.26000213623047,105.98602532504181
1948-07-01,1948,7,28.829999923706055,29.495603037763278
1948-08-01,1948,8,11.789999961853027,12.30312587163328
1948-09-01,1948,9,8.949999809265137,9.37681226440899
